mz,cluster,fold_change,p_value,p_adjusted,significant
431.0345099462449,1,1.0957,7.2959964e-11,0.0,True
432.72813985723457,1,29.066,0.0,0.0,True
438.6821886861965,1,31.8554,0.0,0.0,True
444.0892518422045,1,0.2931,1.0,0.0,True
454.73288180250995,1,62.6223,0.0,0.0,True
467.1014525445848,1,5.5694,0.0,0.0,True
468.1003519862767,1,4.2854,0.0,0.0,True
470.86921302312896,1,11.0462,0.0,0.0,True
476.809403664099,1,0.4453,1.0,0.0,True
494.97073614090664,1,12.3859,0.0,0.0,True
496.72053684989066,1,13.6044,0.0,0.0,True
518.8395487898592,1,10.9385,0.0,0.0,True
522.9512218464823,1,6.0744,0.0,0.0,True
523.9556260802802,1,5.8174,0.0,0.0,True
533.1409042523692,1,0.4659,0.011141385,0.0,True
533.4130639543625,1,0.3906,1.0,0.0,True
541.1189524230358,1,5.2972,0.0,0.0,True
541.7876911980454,1,13.1424,0.0,0.0,True
559.0147875863202,1,26.1678,0.0,0.0,True
560.0147551319774,1,7.3989,0.0,0.0,True
580.1078557464725,1,0.346,1.0,0.0,True
610.6194610344274,1,22.5609,0.0,0.0,True
632.7353882851897,1,15.8027,0.0,0.0,True
633.0361322510867,1,26.8053,0.0,0.0,True
634.0361413582776,1,39.3466,0.0,0.0,True
635.0294536125151,1,39.6314,0.0,0.0,True
658.845290930692,1,11.2275,0.0,0.0,True
658.9666934717421,1,4.7172,0.0,0.0,True
676.7454077383637,1,10.2361,0.0,0.0,True
676.9715932394122,1,3.28,0.0,0.0,True
686.6087240359386,1,0.4617,1.0,0.0,True
707.0289325144547,1,15.8212,0.0,0.0,True
707.0360347998072,1,40.9675,0.0,0.0,True
707.0431371921768,1,60.3459,0.0,0.0,True
707.0502396915656,1,70.1193,0.0,0.0,True
707.0573422979759,1,68.5838,0.0,0.0,True
707.0644450114096,1,62.8613,0.0,0.0,True
707.071547831869,1,44.5938,0.0,0.0,True
707.0786507593563,1,13.5447,0.0,0.0,True
708.0385293879556,1,9.1259,0.0,0.0,True
708.0456468912846,1,14.7489,0.0,0.0,True
708.0527645019365,1,20.246,0.0,0.0,True
708.0598822199136,1,26.4735,0.0,0.0,True
708.0670000452178,1,26.0001,0.0,0.0,True
708.0741179778515,1,13.0409,0.0,0.0,True
712.6373313488076,1,57.6129,0.0,0.0,True
712.6445183085536,1,84.9764,0.0,0.0,True
712.6517053770214,1,98.6375,0.0,0.0,True
712.6588925542129,1,92.9162,0.0,0.0,True
712.6660798401304,1,69.7775,0.0,0.0,True
712.6732672347761,1,38.9055,0.0,0.0,True
712.6804547381522,1,11.2211,0.0,0.0,True
716.0851324854874,1,0.5182,1.0,0.0,True
716.0923716651783,1,0.4288,1.0,0.0,True
716.0996109546454,1,0.4225,1.0,0.0,True
716.106850353891,1,0.4158,1.0,0.0,True
716.1140898629171,1,0.4134,1.0,0.0,True
716.1213294817261,1,0.4129,1.0,0.0,True
716.1285692103202,1,0.413,1.0,0.0,True
716.1358090487015,1,0.4137,1.0,0.0,True
716.1430489968724,1,0.4164,1.0,0.0,True
716.150289054835,1,0.4231,1.0,0.0,True
716.1575292225915,1,0.4183,1.0,0.0,True
716.1647695001442,1,0.4314,1.0,0.0,True
716.1720098874953,1,0.5022,1.0,0.0,True
721.0405482511893,1,1.0648,0.4310448,0.0,True
721.0478627053386,1,1.3496,0.0,0.0,True
721.0551772707888,1,1.4278,0.0,0.0,True
721.062491947542,1,1.4361,0.0,0.0,True
721.0698067356004,1,1.4428,0.0,0.0,True
721.0771216349664,1,1.444,0.0,0.0,True
721.0844366456423,1,1.4438,0.0,0.0,True
721.0917517676302,1,1.4452,0.0,0.0,True
721.0990670009325,1,1.466,0.0,0.0,True
721.1063823455513,1,1.5012,0.0,0.0,True
721.1136978014891,1,1.5198,0.0,0.0,True
